title	link	original_name_and_year	country and genre	
Принц Египта	https://www.kinopoisk.ru/level/1/film/3469/	The Prince of Egypt (1998) 99 мин.	"
         США,
         реж. Бренда Чепмен...
         (мультфильм, мюзикл, фэнтези...)
      "	
Мажестик	https://www.kinopoisk.ru/level/1/film/746/	The Majestic (2001) 153 мин.	"
         США,
         реж. Фрэнк Дарабонт
         (драма, мелодрама)
      "	
Обещание на рассвете	https://www.kinopoisk.ru/level/1/film/938727/	La promesse de l'aube (2017) 131 мин.	"
         Франция...
         реж. Эрик Барбье
         (драма, мелодрама, военный...)
      "	
Улыбка Моны Лизы	https://www.kinopoisk.ru/level/1/film/2043/	Mona Lisa Smile (2003) 117 мин.	"
         США,
         реж. Майк Ньюэлл
         (драма)
      "	
Прогулка	https://www.kinopoisk.ru/level/1/film/40966/	 (2003) 88 мин.	"
         Россия,
         реж. Алексей Учитель
         (драма, мелодрама)
      "	
Кафе де Флор	https://www.kinopoisk.ru/level/1/film/492503/	Café de Flore (2011) 120 мин.	"
         Канада...
         реж. Жан-Марк Валле
         (драма, мелодрама)
      "	
Призрак в доспехах: Синдром одиночки. Сообщество крепкого государства  (ТВ)	https://www.kinopoisk.ru/level/1/film/260426/	Kôkaku kidôtai: Stand Alone Complex Solid State Society (2006) 108 мин.	"
         Япония,
         реж. Кэндзи Камияма
         (аниме, мультфильм, фантастика...)
      "	
Вкус солнечного света	https://www.kinopoisk.ru/level/1/film/4483/	Sunshine (1999) 181 мин.	"
         Германия...
         реж. Иштван Сабо
         (драма, мелодрама, военный...)
      "	
Месть и закон	https://www.kinopoisk.ru/level/1/film/40451/	Sholay (1975) 204 мин.	"
         Индия,
         реж. Рамеш Сиппи
         (мюзикл, боевик, триллер...)
      "	
Сирано де Бержерак	https://www.kinopoisk.ru/level/1/film/20891/	Cyrano de Bergerac (1990) 137 мин.	"
         Франция,
         реж. Жан-Поль Раппно
         (драма, мелодрама, комедия...)
      "	
К-9: Собачья работа	https://www.kinopoisk.ru/level/1/film/7376/	K-9 (1989) 101 мин.	"
         США,
         реж. Род Дэниэл
         (боевик, комедия, криминал)
      "	
Правила виноделов	https://www.kinopoisk.ru/level/1/film/6180/	The Cider House Rules (1999) 125 мин.	"
         США,
         реж. Лассе Халльстрём
         (драма, мелодрама)
      "	
Тренер	https://www.kinopoisk.ru/level/1/film/645261/	McFarland, USA (2014) 129 мин.	"
         США,
         реж. Ники Каро
         (драма, биография, спорт)
      "	
Обыкновенное сердце  (ТВ)	https://www.kinopoisk.ru/level/1/film/535304/	The Normal Heart (2014) 132 мин.	"
         США,
         реж. Райан Мёрфи
         (драма, мелодрама, история)
      "	
Бассейн	https://www.kinopoisk.ru/level/1/film/79427/	La piscine (1969) 122 мин.	"
         Франция...
         реж. Жак Дере
         (драма, мелодрама, криминал)
      "	
Город жизни и смерти	https://www.kinopoisk.ru/level/1/film/396661/	Nanjing! Nanjing! (2009) 132 мин.	"
         Китай...
         реж. Лу Чуань
         (военный, драма, боевик...)
      "	
Маленькие женщины	https://www.kinopoisk.ru/level/1/film/807339/	Little Women (2019) 135 мин.	"
         США,
         реж. Грета Гервиг
         (драма, мелодрама)
      "	
Под покровом ночи	https://www.kinopoisk.ru/level/1/film/395110/	Nocturna (2007) 80 мин.	"
         Испания...
         реж. Адриа Гарсия...
         (мультфильм, фэнтези, приключения...)
      "	
Призрак свободы	https://www.kinopoisk.ru/level/1/film/52118/	Le fantôme de la liberté (1974) 104 мин.	"
         Франция...
         реж. Луис Бунюэль
         (комедия)
      "	
Афера Томаса Крауна	https://www.kinopoisk.ru/level/1/film/12819/	The Thomas Crown Affair (1999) 109 мин.	"
         США,
         реж. Джон МакТирнан
         (триллер, мелодрама, криминал)
      "	
Одержимая	https://www.kinopoisk.ru/level/1/film/22697/	Possession (1981) 127 мин.	"
         Франция...
         реж. Анджей Жулавски
         (ужасы, драма)
      "	
Крепкий орешек	https://www.kinopoisk.ru/level/1/film/44974/	 (1968) 78 мин.	"
         СССР,
         реж. Теодор Вульфович
         (комедия, военный)
      "	
Джорджино	https://www.kinopoisk.ru/level/1/film/36366/	Giorgino (1994) 177 мин.	"
         Франция,
         реж. Лоран Бутонна
         (триллер, драма, ужасы)
      "	
Перелом	https://www.kinopoisk.ru/level/1/film/220617/	Fracture (2007) 108 мин.	"
         США...
         реж. Грегори Хоблит
         (триллер, драма, криминал)
      "	
Поменяться местами	https://www.kinopoisk.ru/level/1/film/5285/	Trading Places (1983) 116 мин.	"
         США,
         реж. Джон Лэндис
         (комедия)
      "	
Развод Надера и Симин	https://www.kinopoisk.ru/level/1/film/579739/	Jodaeiye Nader az Simin (2011) 123 мин.	"
         Иран...
         реж. Асгар Фархади
         (драма)
      "	
Любовники полярного круга	https://www.kinopoisk.ru/level/1/film/58524/	Los amantes del Círculo Polar (1998) 112 мин.	"
         Испания...
         реж. Хулио Медем
         (драма, мелодрама, детектив)
      "	
Догма	https://www.kinopoisk.ru/level/1/film/6437/	Dogma (1999) 123 мин.	"
         США,
         реж. Кевин Смит
         (фэнтези, драма, комедия...)
      "	
Долгая помолвка	https://www.kinopoisk.ru/level/1/film/9462/	Un long dimanche de fiançailles (2004) 128 мин.	"
         Франция...
         реж. Жан-Пьер Жёне
         (драма, мелодрама, детектив...)
      "	
Он умер с фалафелем в руке	https://www.kinopoisk.ru/level/1/film/16683/	He Died with a Felafel in His Hand (2001) 107 мин.	"
         Австралия...
         реж. Ричард Ловенштейн
         (мелодрама, комедия)
      "	
Нирджа	https://www.kinopoisk.ru/level/1/film/955963/	Neerja (2016) 122 мин.	"
         Индия,
         реж. Рам Мадвани
         (биография, драма, триллер...)
      "	
Оружейный барон	https://www.kinopoisk.ru/level/1/film/77439/	Lord of War (2005) 122 мин.	"
         США...
         реж. Эндрю Никкол
         (боевик, драма, криминал)
      "	
Три дня на побег	https://www.kinopoisk.ru/level/1/film/468958/	The Next Three Days (2010) 133 мин.	"
         США...
         реж. Пол Хаггис
         (боевик, триллер, драма...)
      "	
Затоiчи	https://www.kinopoisk.ru/level/1/film/51078/	Zatôichi (2003) 116 мин.	"
         Япония,
         реж. Такеши Китано
         (боевик, триллер, драма...)
      "	
Елизавета	https://www.kinopoisk.ru/level/1/film/5560/	Elizabeth (1998) 124 мин.	"
         Великобритания,
         реж. Шекхар Капур
         (драма, биография, история)
      "	
Прекрасная зеленая	https://www.kinopoisk.ru/level/1/film/55035/	La belle verte (1996) 99 мин.	"
         Франция,
         реж. Колин Серро
         (комедия)
      "	
Послезавтра	https://www.kinopoisk.ru/level/1/film/2053/	The Day After Tomorrow (2004) 124 мин.	"
         США,
         реж. Роланд Эммерих
         (фантастика, триллер, драма...)
      "	
Неадекватные люди	https://www.kinopoisk.ru/level/1/film/542581/	 (2010) 102 мин.	"
         Россия,
         реж. Роман Каримов
         (драма, мелодрама, комедия)
      "	
Темные воды	https://www.kinopoisk.ru/level/1/film/1228069/	Dark Waters (2019) 126 мин.	"
         США,
         реж. Тодд Хейнс
         (триллер, драма, биография...)
      "	
Печать зла	https://www.kinopoisk.ru/level/1/film/384/	Touch of Evil (1958) 95 мин.	"
         США,
         реж. Орсон Уэллс
         (фильм-нуар, триллер, драма...)
      "	
Богиня благословляет этот прекрасный мир: Багровая легенда	https://www.kinopoisk.ru/level/1/film/1210420/	Eiga Kono subarashii sekai ni shukufuku o!: Kurenai densetsu (2019) 90 мин.	"
         Япония,
         реж. Такаоми Канасаки
         (аниме, мультфильм, комедия...)
      "	
Змея в тени орла	https://www.kinopoisk.ru/level/1/film/24724/	Se ying diu sau (1978) 97 мин.	"
         Гонконг,
         реж. Юэнь Ву-Пин
         (боевик, комедия)
      "	
Бьютифул	https://www.kinopoisk.ru/level/1/film/438268/	Biutiful (2009) 148 мин.	"
         Мексика...
         реж. Алехандро Гонсалес Иньярриту
         (драма, мелодрама)
      "	
Динозавр	https://www.kinopoisk.ru/level/1/film/652/	Dinosaur (2000) 82 мин.	"
         США,
         реж. Эрик Лейтон...
         (мультфильм, триллер, приключения...)
      "	
Женщина не в себе	https://www.kinopoisk.ru/level/1/film/1633/	A Woman Under the Influence (1974) 155 мин.	"
         США,
         реж. Джон Кассаветис
         (драма, мелодрама)
      "	
Еще одна из рода Болейн	https://www.kinopoisk.ru/level/1/film/195435/	The Other Boleyn Girl (2008) 110 мин.	"
         Великобритания...
         реж. Джастин Чадвик
         (драма, мелодрама, биография...)
      "	
Свет вокруг	https://www.kinopoisk.ru/level/1/film/78261/	Everything Is Illuminated (2005) 106 мин.	"
         США,
         реж. Лив Шрайбер
         (драма, комедия)
      "	
Красавица-воин Сейлор Мун Эр	https://www.kinopoisk.ru/level/1/film/50788/	Gekijô-ban - Bishôjo senshi Sêrâ Mûn R (1993) 61 мин.	"
         Япония,
         реж. Кунихико Икухара
         (аниме, мультфильм, драма...)
      "	
Отвращение	https://www.kinopoisk.ru/level/1/film/8427/	Repulsion (1965) 105 мин.	"
         Великобритания,
         реж. Роман Полански
         (ужасы, триллер, драма)
      "	
Алеша Попович и Тугарин Змей	https://www.kinopoisk.ru/level/1/film/81041/	 (2004) 79 мин.	"
         Россия,
         реж. Константин Бронзит
         (мультфильм, комедия, приключения...)
      "	
Красивая жизнь	https://www.kinopoisk.ru/level/1/film/5439/	Taking Care of Business (1990) 104 мин.	"
         США,
         реж. Артур Хиллер
         (комедия)
      "	
Опасные умы	https://www.kinopoisk.ru/level/1/film/22619/	Dangerous Minds (1995) 99 мин.	"
         США,
         реж. Джон Н. Смит
         (драма, биография)
      "	
Чисто английское убийство  (ТВ)	https://www.kinopoisk.ru/level/1/film/45512/	 (1974) 165 мин.	"
         СССР,
         реж. Самсон Самсонов
         (криминал, детектив)
      "	
Будучи там	https://www.kinopoisk.ru/level/1/film/541/	Being There (1979) 130 мин.	"
         Германия (ФРГ)...
         реж. Хэл Эшби
         (драма, комедия)
      "	
Короли Догтауна	https://www.kinopoisk.ru/level/1/film/12197/	Lords of Dogtown (2005) 107 мин.	"
         США...
         реж. Кэтрин Хардвик
         (драма, биография, спорт)
      "	
Доброе утро, Вьетнам	https://www.kinopoisk.ru/level/1/film/4779/	Good Morning, Vietnam (1987) 116 мин.	"
         США,
         реж. Барри Левинсон
         (драма, комедия, военный...)
      "	
Люди Икс: Первый класс	https://www.kinopoisk.ru/level/1/film/462358/	X-Men: First Class (2011) 131 мин.	"
         США...
         реж. Мэттью Вон
         (фантастика, боевик, приключения)
      "	
127 часов	https://www.kinopoisk.ru/level/1/film/484878/	127 Hours (2010) 93 мин.	"
         США...
         реж. Дэнни Бойл
         (триллер, биография, драма...)
      "	
Телефонная будка	https://www.kinopoisk.ru/level/1/film/305/	Phone Booth (2002) 81 мин.	"
         США,
         реж. Джоэл Шумахер
         (триллер, криминал)
      "	
Я остаюсь	https://www.kinopoisk.ru/level/1/film/260338/	 (2006) 112 мин.	"
         Россия,
         реж. Карен Оганесян
         (драма, комедия, фантастика)
      "	
Шрэк 2	https://www.kinopoisk.ru/level/1/film/5273/	Shrek 2 (2004) 93 мин.	"
         США,
         реж. Эндрю Адамсон...
         (мультфильм, фэнтези, мелодрама...)
      "	
Москва – Кассиопея	https://www.kinopoisk.ru/level/1/film/46711/	 (1973) 83 мин.	"
         СССР,
         реж. Ричард Викторов
         (фантастика, комедия, приключения...)
      "	
Призрак в доспехах 2: Невинность	https://www.kinopoisk.ru/level/1/film/50255/	Inosensu: Innocence (2004) 100 мин.	"
         Япония,
         реж. Мамору Осии
         (аниме, мультфильм, фантастика...)
      "	
Дайте жалобную книгу	https://www.kinopoisk.ru/level/1/film/44086/	 (1965) 91 мин.	"
         СССР,
         реж. Эльдар Рязанов
         (комедия)
      "	
Летние войны	https://www.kinopoisk.ru/level/1/film/470034/	Sama uozu (2009) 114 мин.	"
         Япония,
         реж. Мамору Хосода
         (аниме, мультфильм, фантастика...)
      "	
Батарейки не прилагаются	https://www.kinopoisk.ru/level/1/film/7109/	*batteries not included (1987) 106 мин.	"
         США,
         реж. Мэттью Роббинс
         (фантастика, фэнтези, комедия...)
      "	
Ангел-истребитель	https://www.kinopoisk.ru/level/1/film/8348/	El Ángel exterminador (1962) 95 мин.	"
         Мексика,
         реж. Луис Бунюэль
         (фэнтези, драма)
      "	
Принц Щелкунчик	https://www.kinopoisk.ru/level/1/film/4746/	The Nutcracker Prince (1990) 75 мин.	"
         Канада,
         реж. Пол Шибли
         (мультфильм, фэнтези, приключения...)
      "	
Аниматрица	https://www.kinopoisk.ru/level/1/film/325797/	The Animatrix (2003) 100 мин.	"
         США...
         реж. Питер Чунг...
         (аниме, мультфильм, фантастика...)
      "	
За пригоршню динамита	https://www.kinopoisk.ru/level/1/film/8469/	Giù la testa (1971) 157 мин.	"
         Италия...
         реж. Серджио Леоне
         (вестерн, боевик, приключения)
      "	
Двенадцать друзей Оушена	https://www.kinopoisk.ru/level/1/film/18294/	Ocean's Twelve (2004) 120 мин.	"
         США,
         реж. Стивен Содерберг
         (триллер, криминал)
      "	
Город Зеро	https://www.kinopoisk.ru/level/1/film/44574/	 (1988) 103 мин.	"
         СССР,
         реж. Карен Шахназаров
         (фантастика, драма, комедия...)
      "	
Бегущий по лезвию 2049	https://www.kinopoisk.ru/level/1/film/589290/	Blade Runner 2049 (2017) 164 мин.	"
         США...
         реж. Дени Вильнёв
         (фантастика, боевик, триллер...)
      "	
Плохие парни	https://www.kinopoisk.ru/level/1/film/3908/	Bad Boys (1995) 119 мин.	"
         США,
         реж. Майкл Бэй
         (боевик, комедия, триллер...)
      "	
Пустоши	https://www.kinopoisk.ru/level/1/film/6977/	Badlands (1973) 95 мин.	"
         США,
         реж. Терренс Малик
         (боевик, драма, криминал)
      "	
Облако	https://www.kinopoisk.ru/level/1/film/198049/	Die Wolke (2006) 105 мин.	"
         Германия,
         реж. Грегор Шнитцлер
         (фантастика, триллер, драма)
      "	
Суета сует	https://www.kinopoisk.ru/level/1/film/44041/	 (1979) 87 мин.	"
         СССР,
         реж. Алла Сурикова
         (комедия)
      "	
Сибирь. Монамур	https://www.kinopoisk.ru/level/1/film/573200/	 (2011) 102 мин.	"
         Россия,
         реж. Вячеслав Росс
         (драма)
      "	
Три толстяка	https://www.kinopoisk.ru/level/1/film/42307/	 (1966) 85 мин.	"
         СССР,
         реж. Алексей Баталов...
         (фэнтези, приключения, семейный)
      "	
Бакенбарды	https://www.kinopoisk.ru/level/1/film/46011/	 (1990) 100 мин.	"
         СССР,
         реж. Юрий Мамин
         (комедия)
      "	
Впервые замужем	https://www.kinopoisk.ru/level/1/film/45900/	 (1979) 99 мин.	"
         СССР,
         реж. Иосиф Хейфиц
         (драма)
      "	
Огонь	https://www.kinopoisk.ru/level/1/film/1183599/	 (2020) 131 мин.	"
         Россия,
         реж. Алексей Нужный
         (драма, боевик)
      "	
Полицейский из Беверли-Хиллз	https://www.kinopoisk.ru/level/1/film/2318/	Beverly Hills Cop (1984) 105 мин.	"
         США,
         реж. Мартин Брест
         (боевик, триллер, комедия...)
      "	
Свой человек	https://www.kinopoisk.ru/level/1/film/467/	The Insider (1999) 157 мин.	"
         США,
         реж. Майкл Манн
         (триллер, драма, биография)
      "	
Футурама: Большой куш Бендера!  (видео)	https://www.kinopoisk.ru/level/1/film/229938/	Futurama: Bender's Big Score (2007) 88 мин.	"
         США,
         реж. Дуэйн Кэри-Хилл
         (мультфильм, фантастика, мелодрама...)
      "	
Матильда	https://www.kinopoisk.ru/level/1/film/7643/	Matilda (1996) 98 мин.	"
         США,
         реж. Дэнни ДеВито
         (фэнтези, комедия, семейный)
      "	
Короткое замыкание	https://www.kinopoisk.ru/level/1/film/18282/	Short Circuit (1986) 98 мин.	"
         США,
         реж. Джон Бэдэм
         (фантастика, комедия, семейный)
      "	
Освободите Вилли	https://www.kinopoisk.ru/level/1/film/14833/	Free Willy (1993) 112 мин.	"
         США...
         реж. Саймон Уинсер
         (драма, приключения, семейный)
      "	
Скупой	https://www.kinopoisk.ru/level/1/film/95357/	L'avare (1979) 125 мин.	"
         Франция,
         реж. Луи де Фюнес...
         (комедия)
      "	
Райя и последний дракон	https://www.kinopoisk.ru/level/1/film/1015471/	Raya and the Last Dragon (2021) 107 мин.	"
         США,
         реж. Дон Холл...
         (мультфильм, фэнтези, боевик...)
      "	
Тельма и Луиза	https://www.kinopoisk.ru/level/1/film/2614/	Thelma & Louise (1991) 130 мин.	"
         США...
         реж. Ридли Скотт
         (драма, комедия, криминал)
      "	
Третий человек	https://www.kinopoisk.ru/level/1/film/359/	The Third Man (1949) 104 мин.	"
         Великобритания,
         реж. Кэрол Рид
         (фильм-нуар, триллер, детектив)
      "	
Карьера Димы Горина	https://www.kinopoisk.ru/level/1/film/44726/	 (1961) 94 мин.	"
         СССР,
         реж. Фрунзе Довлатян...
         (мелодрама, комедия)
      "	
Прости за любовь	https://www.kinopoisk.ru/level/1/film/390738/	Scusa ma ti chiamo amore (2008) 104 мин.	"
         Италия,
         реж. Федерико Моччиа
         (мелодрама)
      "	
Страшилы	https://www.kinopoisk.ru/level/1/film/5909/	The Frighteners (1996) 110 мин.	"
         Новая Зеландия...
         реж. Питер Джексон
         (ужасы, фэнтези, комедия)
      "	
Омен	https://www.kinopoisk.ru/level/1/film/11841/	The Omen (1976) 111 мин.	"
         Великобритания...
         реж. Ричард Доннер
         (ужасы)
      "	
Отпуск по обмену	https://www.kinopoisk.ru/level/1/film/104927/	The Holiday (2006) 136 мин.	"
         США,
         реж. Нэнси Майерс
         (мелодрама, комедия)
      "	
Сокровище нации	https://www.kinopoisk.ru/level/1/film/61333/	National Treasure (2004) 131 мин.	"
         США,
         реж. Джон Тёртлтауб
         (боевик, триллер, детектив...)
      "	
Безумный Макс 2: Воин дороги	https://www.kinopoisk.ru/level/1/film/8374/	Mad Max 2 (1981) 95 мин.	"
         Австралия...
         реж. Джордж Миллер
         (фантастика, боевик, триллер...)
      "	
Приключения Винни Пуха	https://www.kinopoisk.ru/level/1/film/8223/	The Many Adventures of Winnie the Pooh (1977) 74 мин.	"
         США,
         реж. Джон Лоунсбери...
         (мультфильм, мюзикл, комедия...)
      "	
Герой	https://www.kinopoisk.ru/level/1/film/2529/	Hero (1992) 119 мин.	"
         США,
         реж. Стивен Фрирз
         (драма, мелодрама, комедия)
      "	
Вспомнить всё	https://www.kinopoisk.ru/level/1/film/2443/	Total Recall (1990) 113 мин.	"
         США...
         реж. Пол Верховен
         (фантастика, боевик, триллер)
      "	
Бинго Бонго	https://www.kinopoisk.ru/level/1/film/57794/	Bingo Bongo (1982) 102 мин.	"
         Италия...
         реж. Паскуале Феста Кампаниле
         (комедия, семейный)
      "	
Французский поцелуй	https://www.kinopoisk.ru/level/1/film/9249/	French Kiss (1995) 111 мин.	"
         Великобритания...
         реж. Лоуренс Кэздан
         (драма, мелодрама, комедия)
      "	
Проект А: Часть 2	https://www.kinopoisk.ru/level/1/film/22785/	'A' gai wak 2 (1987) 106 мин.	"
         Гонконг...
         реж. Джеки Чан
         (боевик, комедия, криминал)
      "	
Темный рыцарь: Возрождение легенды. Часть 1  (видео)	https://www.kinopoisk.ru/level/1/film/673750/	Batman: The Dark Knight Returns, Part 1 (2012) 73 мин.	"
         США,
         реж. Джей Олива
         (мультфильм, боевик, триллер...)
      "	
Бунтарь без причины	https://www.kinopoisk.ru/level/1/film/1299/	Rebel Without a Cause (1955) 111 мин.	"
         США,
         реж. Николас Рэй
         (драма)
      "	
Берсерк. Золотой век: Фильм III. Сошествие	https://www.kinopoisk.ru/level/1/film/678124/	Beruseruku: Ougon jidai-hen III - Kourin (2013) 107 мин.	"
         Япония,
         реж. Тосиюки Кубоока
         (аниме, мультфильм, драма...)
      "	
Триган: Переполох в Пустошах	https://www.kinopoisk.ru/level/1/film/557745/	Trigun: Badlands Rumble (2010) 90 мин.	"
         Япония,
         реж. Сатоси Нисимура
         (аниме, мультфильм, фантастика...)
      "	
Райский поцелуй	https://www.kinopoisk.ru/level/1/film/558137/	Paradaisu kisu (2011) 115 мин.	"
         Япония,
         реж. Такэхико Синдзё
         (мелодрама, комедия)
      "	
Замужество Марии Браун	https://www.kinopoisk.ru/level/1/film/54874/	Die Ehe der Maria Braun (1979) 119 мин.	"
         Германия (ФРГ),
         реж. Райнер Вернер Фассбиндер
         (драма)
      "	
Перед закатом	https://www.kinopoisk.ru/level/1/film/50598/	Before Sunset (2004) 80 мин.	"
         США...
         реж. Ричард Линклейтер
         (драма, мелодрама)
      "	
Кавказский пленник	https://www.kinopoisk.ru/level/1/film/7652/	 (1996) 100 мин.	"
         Россия...
         реж. Сергей Бодров
         (драма, военный)
      "	
Стрелок	https://www.kinopoisk.ru/level/1/film/257898/	Shooter (2007) 124 мин.	"
         США,
         реж. Антуан Фукуа
         (боевик, триллер, драма)
      "	
Васаби	https://www.kinopoisk.ru/level/1/film/14288/	Wasabi (2001) 94 мин.	"
         Франция...
         реж. Жерар Кравчик
         (боевик, триллер, драма...)
      "	
С меня хватит!	https://www.kinopoisk.ru/level/1/film/4853/	Falling Down (1992) 113 мин.	"
         США...
         реж. Джоэл Шумахер
         (триллер, драма, криминал)
      "	
Жена путешественника во времени	https://www.kinopoisk.ru/level/1/film/102128/	The Time Traveler's Wife (2008) 107 мин.	"
         США,
         реж. Роберт Швентке
         (фантастика, фэнтези, драма...)
      "	
Малхолланд Драйв	https://www.kinopoisk.ru/level/1/film/466/	Mulholland Dr. (2001) 147 мин.	"
         Франция...
         реж. Дэвид Линч
         (триллер, драма, детектив)
      "	
Бобро поржаловать!	https://www.kinopoisk.ru/level/1/film/391735/	Bienvenue chez les Ch'tis (2008) 106 мин.	"
         Франция,
         реж. Дэни Бун
         (мелодрама, комедия)
      "	
Феи: Потерянное сокровище  (видео)	https://www.kinopoisk.ru/level/1/film/409218/	Tinker Bell and the Lost Treasure (2009) 76 мин.	"
         США,
         реж. Клэй Холл
         (мультфильм, фэнтези, приключения...)
      "	
Головой о стену	https://www.kinopoisk.ru/level/1/film/52453/	Gegen die Wand (2003) 121 мин.	"
         Германия...
         реж. Фатих Акин
         (драма, мелодрама)
      "	
Девочка и лисенок	https://www.kinopoisk.ru/level/1/film/276429/	Le renard et l'enfant (2007) 88 мин.	"
         Франция,
         реж. Люк Жаке
         (драма, приключения, семейный)
      "	
Невеста	https://www.kinopoisk.ru/level/1/film/277556/	 (2006) 85 мин.	"
         Россия,
         реж. Эльёр Ишмухамедов
         (драма, мелодрама)
      "	
Непобедимый	https://www.kinopoisk.ru/level/1/film/46401/	 (1983) 69 мин.	"
         СССР,
         реж. Юрий Борецкий
         (боевик)
      "	
Волосы	https://www.kinopoisk.ru/level/1/film/9245/	Hair (1979) 121 мин.	"
         Германия (ФРГ)...
         реж. Милош Форман
         (мюзикл, драма, мелодрама...)
      "	
Повар, вор, его жена и её любовник	https://www.kinopoisk.ru/level/1/film/6715/	The Cook, the Thief, His Wife & Her Lover (1989) 124 мин.	"
         Нидерланды...
         реж. Питер Гринуэй
         (драма, криминал)
      "	
Инспектор ГАИ	https://www.kinopoisk.ru/level/1/film/42608/	 (1982) 79 мин.	"
         СССР,
         реж. Эльдор Уразбаев
         (драма)
      "	
Я, Эрл и умирающая девушка	https://www.kinopoisk.ru/level/1/film/746001/	Me and Earl and the Dying Girl (2015) 105 мин.	"
         США,
         реж. Альфонсо Гомес-Рехон
         (драма, комедия)
      "	
Солдатская девушка  (ТВ)	https://www.kinopoisk.ru/level/1/film/256081/	Soldier's Girl (2003) 112 мин.	"
         США...
         реж. Фрэнк Пирсон
         (драма, мелодрама, криминал...)
      "	
Фара	https://www.kinopoisk.ru/level/1/film/41166/	 (1999) 73 мин.	"
         Россия...
         реж. Абай Карпыков
         (триллер, драма)
      "	
Джеймс Дин  (ТВ)	https://www.kinopoisk.ru/level/1/film/277591/	James Dean (2001) 120 мин.	"
         США,
         реж. Марк Райделл
         (драма, биография)
      "	
Крепкий орешек 3: Возмездие	https://www.kinopoisk.ru/level/1/film/8162/	Die Hard: With a Vengeance (1995) 128 мин.	"
         США,
         реж. Джон МакТирнан
         (боевик, триллер, приключения)
      "	
Классик	https://www.kinopoisk.ru/level/1/film/41242/	 (1998) 101 мин.	"
         Россия,
         реж. Георгий Шенгелия
         (боевик, криминал)
      "	
Страх сцены	https://www.kinopoisk.ru/level/1/film/9118/	Stage Fright (1950) 110 мин.	"
         Великобритания,
         реж. Альфред Хичкок
         (фильм-нуар, триллер, детектив)
      "	
Люпен III: Замок Калиостро	https://www.kinopoisk.ru/level/1/film/8234/	Lupin III: Cagliostro no Shiro (1979) 100 мин.	"
         Япония,
         реж. Хаяо Миядзаки
         (аниме, мультфильм, комедия...)
      "	
Великая красота	https://www.kinopoisk.ru/level/1/film/677566/	La grande bellezza (2013) 141 мин.	"
         Италия...
         реж. Паоло Соррентино
         (драма, комедия)
      "	
Круто сваренные	https://www.kinopoisk.ru/level/1/film/5343/	Lat sau san taam (1992) 128 мин.	"
         Гонконг,
         реж. Джон Ву
         (боевик, триллер, криминал)
      "	
Граница пустоты: Сад грешников (фильм пятый)	https://www.kinopoisk.ru/level/1/film/423069/	Gekijô ban Kara no kyôkai: Dai go shô - Mujun rasen (2008) 112 мин.	"
         Япония,
         реж. Такаюки Хирао...
         (аниме, мультфильм, ужасы...)
      "	
Kingsman: Секретная служба	https://www.kinopoisk.ru/level/1/film/749540/	Kingsman: The Secret Service (2015) 130 мин.	"
         Великобритания...
         реж. Мэттью Вон
         (боевик, комедия, криминал...)
      "	
Патруль	https://www.kinopoisk.ru/level/1/film/584405/	End of Watch (2012) 109 мин.	"
         США,
         реж. Дэвид Эйр
         (драма, криминал, боевик...)
      "	
Последняя любовь на Земле	https://www.kinopoisk.ru/level/1/film/467110/	Perfect Sense (2010) 88 мин.	"
         Великобритания...
         реж. Дэвид Маккензи
         (фантастика, драма, мелодрама)
      "	
Только сильнейшие	https://www.kinopoisk.ru/level/1/film/18114/	Only the Strong (1993) 99 мин.	"
         США...
         реж. Шелдон Леттич
         (боевик, драма)
      "	
Мой партнёр	https://www.kinopoisk.ru/level/1/film/729053/	Naui P.S. pateuneo (2012) 114 мин.	"
         Корея Южная,
         реж. Пён Сон-хён
         (мелодрама, комедия)
      "	
300 спартанцев	https://www.kinopoisk.ru/level/1/film/81924/	300 (2007) 117 мин.	"
         США...
         реж. Зак Снайдер
         (боевик, драма)
      "	
Неспящие в Сиэттле	https://www.kinopoisk.ru/level/1/film/1573/	Sleepless in Seattle (1993) 105 мин.	"
         США,
         реж. Нора Эфрон
         (мелодрама, комедия)
      "	
8 женщин	https://www.kinopoisk.ru/level/1/film/580/	8 femmes (2001) 110 мин.	"
         Франция...
         реж. Франсуа Озон
         (мюзикл, криминал, детектив...)
      "	
Незнакомка	https://www.kinopoisk.ru/level/1/film/238808/	La sconosciuta (2006) 118 мин.	"
         Италия...
         реж. Джузеппе Торнаторе
         (триллер, драма, детектив)
      "	
Строшек	https://www.kinopoisk.ru/level/1/film/39366/	Stroszek (1977) 115 мин.	"
         Германия (ФРГ),
         реж. Вернер Херцог
         (драма, комедия)
      "	
Воображаемая любовь	https://www.kinopoisk.ru/level/1/film/503657/	Les amours imaginaires (2010) 101 мин.	"
         Канада,
         реж. Ксавье Долан
         (драма, мелодрама)
      "	
Харлей Дэвидсон и ковбой Мальборо	https://www.kinopoisk.ru/level/1/film/3669/	Harley Davidson and the Marlboro Man (1991) 98 мин.	"
         США,
         реж. Саймон Уинсер
         (боевик, триллер, драма...)
      "	
Истинная грусть	https://www.kinopoisk.ru/level/1/film/8237/	Pafekuto buru (1998) 81 мин.	"
         Япония,
         реж. Сатоси Кон
         (аниме, мультфильм, ужасы...)
      "	
