title;link;original_name_and_year;Country and genre
Жизнь прекрасна;https://www.kinopoisk.ru/film/381/;La vita è bella, 1997;Италиявоенный, комедия
Молчание ягнят;https://www.kinopoisk.ru/film/345/;Silence of the Lambs, 1990;СШАтриллер, детектив
Они сражались за Родину;https://www.kinopoisk.ru/film/42770/;1975;СССРдрама, военный
Офицеры;https://www.kinopoisk.ru/film/42736/;1971;СССРдрама, военный
Ford против Ferrari;https://www.kinopoisk.ru/film/835086/;Ford v Ferrari, 2019;СШАбиография, спорт
Служебный роман;https://www.kinopoisk.ru/film/43869/;1977;СССРдрама, мелодрама
Корпорация монстров;https://www.kinopoisk.ru/film/458/;Monsters, Inc., 2001;СШАмультфильм, фэнтези
В джазе только девушки;https://www.kinopoisk.ru/film/356/;Some Like It Hot, 1959;СШАмелодрама, комедия
Невидимая сторона;https://www.kinopoisk.ru/film/450213/;Blind Side, 2009;СШАдрама, спорт
Волк с Уолл-стрит;https://www.kinopoisk.ru/film/462682/;Wolf of Wall Street, 2013;СШАдрама, криминал
Шоу Трумана;https://www.kinopoisk.ru/film/4541/;Truman Show, 1998;СШАдрама, комедия
Ходячий замок;https://www.kinopoisk.ru/film/49684/;Hauru no ugoku shiro, 2004;Японияаниме, мультфильм
Любовь и голуби;https://www.kinopoisk.ru/film/45146/;1984;СССРмелодрама, комедия
Гарри Поттер и Дары Смерти: Часть II;https://www.kinopoisk.ru/film/407636/;Harry Potter and the Deathly Hallows: Part 2, 2011;Великобритания, СШАфэнтези, драма
Титаник;https://www.kinopoisk.ru/film/2213/;Titanic, 1997;США, Мексикамелодрама, история
Бриллиантовая рука;https://www.kinopoisk.ru/film/46225/;1968;СССРкомедия, приключения
Пианист;https://www.kinopoisk.ru/film/355/;Pianist, 2002;Польша, Франциядрама, военный
Омерзительная восьмерка;https://www.kinopoisk.ru/film/819101/;Hateful Eight, 2015;СШАвестерн, криминал
Звёздные войны: Эпизод 3 – Месть Ситхов;https://www.kinopoisk.ru/film/5619/;Star Wars: Episode III - Revenge of the Sith, 2005;СШАфантастика, боевик
Американская история X;https://www.kinopoisk.ru/film/382/;American History X, 1998;СШАдрама
Общество мертвых поэтов;https://www.kinopoisk.ru/film/4996/;Dead Poets Society, 1989;СШАдрама, комедия
Рататуй;https://www.kinopoisk.ru/film/89514/;Ratatouille, 2007;СШАмультфильм, приключения
Судьба человека;https://www.kinopoisk.ru/film/44027/;1959;СССРдрама, военный
Семь жизней;https://www.kinopoisk.ru/film/395787/;Seven Pounds, 2008;СШАдрама, мелодрама
Принцесса Мононоке;https://www.kinopoisk.ru/film/441/;Mononoke-hime, 1997;Японияаниме, мультфильм
Гарри Поттер и Тайная комната;https://www.kinopoisk.ru/film/688/;Harry Potter and the Chamber of Secrets, 2002;Великобритания, СШАфэнтези, приключения
Головоломка;https://www.kinopoisk.ru/film/645118/;Inside Out, 2015;СШАмультфильм, семейный
Назад в будущее 3;https://www.kinopoisk.ru/film/7103/;Back to the Future Part III, 1990;СШАфантастика, комедия
